sheet,asset_id,output_type,col,row,cols,rows,width,height
bosses_a_sheet_chromakey_v01.png,spirit_vein_wyrm,body,0,0,4,3,96,32
bosses_a_sheet_chromakey_v01.png,spirit_vein_wyrm,boss_head,0,1,4,3,32,32
bosses_a_sheet_chromakey_v01.png,garden_warden,body,1,0,4,3,96,96
bosses_a_sheet_chromakey_v01.png,garden_warden,boss_head,1,1,4,3,32,32
bosses_a_sheet_chromakey_v01.png,black_furnace_iron_golem,body,2,0,4,3,112,112
bosses_a_sheet_chromakey_v01.png,black_furnace_iron_golem,boss_head,2,1,4,3,32,32
bosses_a_sheet_chromakey_v01.png,tribulation_cloud_avatar,body,3,0,4,3,128,96
bosses_a_sheet_chromakey_v01.png,tribulation_cloud_avatar,boss_head,3,1,4,3,32,32
bosses_b_sheet_chromakey_v01.png,thunder_marsh_jiao,body,0,0,4,3,160,96
bosses_b_sheet_chromakey_v01.png,thunder_marsh_jiao,boss_head,0,1,4,3,48,48
bosses_b_sheet_chromakey_v01.png,abyssal_star_womb,body,1,0,4,3,128,128
bosses_b_sheet_chromakey_v01.png,abyssal_star_womb,boss_head,1,1,4,3,32,32
bosses_b_sheet_chromakey_v01.png,formless_sword_soul,body,2,0,4,3,96,96
bosses_b_sheet_chromakey_v01.png,formless_sword_soul,boss_head,2,1,4,3,32,32
bosses_b_sheet_chromakey_v01.png,greenwood_medicine_king_echo,body,3,0,4,3,112,112
bosses_b_sheet_chromakey_v01.png,greenwood_medicine_king_echo,boss_head,3,1,4,3,32,32
bosses_c_sheet_chromakey_v01.png,heaven_tablet_guardian,body,0,0,4,3,96,160
bosses_c_sheet_chromakey_v01.png,heaven_tablet_guardian,boss_head,0,1,4,3,32,32
bosses_c_sheet_chromakey_v01.png,broken_heaven_inspector,body,1,0,4,3,128,128
bosses_c_sheet_chromakey_v01.png,broken_heaven_inspector,boss_head,1,1,4,3,32,32
bosses_c_sheet_chromakey_v01.png,moonbone_immortal,body,2,0,4,3,180,180
bosses_c_sheet_chromakey_v01.png,moonbone_immortal,boss_head,2,1,4,3,48,48
bosses_c_sheet_chromakey_v01.png,old_heaven_dao_core,body,3,0,4,3,192,192
bosses_c_sheet_chromakey_v01.png,old_heaven_dao_core,boss_head,3,1,4,3,48,48
enemies_sheet_chromakey_v01.png,wandering_spirit_slime,base,0,0,5,4,48,48
enemies_sheet_chromakey_v01.png,shattered_jade_worm,base,1,0,5,4,48,24
enemies_sheet_chromakey_v01.png,talisman_bat,base,2,0,5,4,48,32
enemies_sheet_chromakey_v01.png,herb_garden_vine_spirit,base,3,0,5,4,64,64
enemies_sheet_chromakey_v01.png,miasma_flower_moth,base,4,0,5,4,48,48
enemies_sheet_chromakey_v01.png,furnace_ash_golem,base,0,1,5,4,64,64
enemies_sheet_chromakey_v01.png,iron_shard_spirit,base,1,1,5,4,32,32
enemies_sheet_chromakey_v01.png,tribulation_cloudling,base,2,1,5,4,48,48
enemies_sheet_chromakey_v01.png,thunder_pattern_hawk,base,3,1,5,4,64,48
enemies_sheet_chromakey_v01.png,star_eclipsed_cultivator,base,4,1,5,4,64,64
enemies_sheet_chromakey_v01.png,star_abyss_larva,base,0,2,5,4,48,32
enemies_sheet_chromakey_v01.png,obsessed_sword_cultivator,base,1,2,5,4,64,80
enemies_sheet_chromakey_v01.png,scripture_archive_echo,base,2,2,5,4,64,64
enemies_sheet_chromakey_v01.png,celestial_puppet,base,3,2,5,4,64,80
enemies_sheet_chromakey_v01.png,heaven_tablet_guard,base,4,2,5,4,64,80
enemies_sheet_chromakey_v01.png,moonbone_cultivator,base,0,3,5,4,72,80
enemies_sheet_chromakey_v01.png,archived_immortal_soul,base,1,3,5,4,72,72
npcs_sheet_chromakey_v01.png,herb_sect_apprentice,body,0,0,5,2,40,56
npcs_sheet_chromakey_v01.png,wandering_artificer,body,1,0,5,2,42,58
npcs_sheet_chromakey_v01.png,tribulation_observer,body,2,0,5,2,40,56
npcs_sheet_chromakey_v01.png,archive_scroll_spirit,body,3,0,5,2,36,48
npcs_sheet_chromakey_v01.png,fallen_heaven_messenger,body,4,0,5,2,42,60
npcs_sheet_chromakey_v01.png,herb_sect_apprentice,head,0,1,5,2,32,32
npcs_sheet_chromakey_v01.png,wandering_artificer,head,1,1,5,2,32,32
npcs_sheet_chromakey_v01.png,tribulation_observer,head,2,1,5,2,32,32
npcs_sheet_chromakey_v01.png,archive_scroll_spirit,head,3,1,5,2,32,32
npcs_sheet_chromakey_v01.png,fallen_heaven_messenger,head,4,1,5,2,32,32
items_sheet_chromakey_v01.png,low_grade_spirit_stone,item_icon,0,0,6,6,24,24
items_sheet_chromakey_v01.png,spirit_gel,item_icon,1,0,6,6,16,16
items_sheet_chromakey_v01.png,torn_talisman_paper,item_icon,2,0,6,6,24,24
items_sheet_chromakey_v01.png,greenwood_root,item_icon,3,0,6,6,24,24
items_sheet_chromakey_v01.png,furnace_slag_iron,item_icon,4,0,6,6,24,24
items_sheet_chromakey_v01.png,artifact_blank_shard,item_icon,5,0,6,6,24,24
items_sheet_chromakey_v01.png,tribulation_cloud_dew,item_icon,0,1,6,6,24,24
items_sheet_chromakey_v01.png,star_eclipse_crystal,item_icon,1,1,6,6,24,24
items_sheet_chromakey_v01.png,sect_trial_token,item_icon,2,1,6,6,32,32
items_sheet_chromakey_v01.png,heaven_dao_fragment,item_icon,3,1,6,6,32,32
